pid,w6_q21a_year,grp,duration
1198519,2014,time_from_rel_to_cohab,0.91674805
1198519,2014,time_married_hardcoded,-8.25
1236545,1992,time_from_met_to_rel,0
1236545,1992,time_from_rel_to_cohab,16.083374
1236545,1992,time_married_hardcoded,-8.25
1238075,1996,time_from_met_to_rel,0
1238075,1996,time_from_rel_to_cohab,0.33337402
1238075,1996,time_married_hardcoded,-8.25
1249059,1965,time_from_met_to_rel,27
1249059,1965,time_from_rel_to_cohab,0
1249059,1965,time_married_hardcoded,-8.25
1250651,1979,time_from_met_to_rel,0.16662598
1250651,1979,time_from_rel_to_cohab,0.583374
1250651,1979,time_married_hardcoded,-8.25
1256265,1999,time_from_met_to_rel,8.916626
1256265,1999,time_from_rel_to_cohab,1.333374
1256265,1999,time_married_hardcoded,-8.25
1261481,2001,time_from_met_to_rel,0
1261481,2001,time_from_rel_to_cohab,0.75
1261481,2001,time_married_hardcoded,-8.25
1262965,2004,time_from_met_to_rel,0
1262965,2004,time_from_rel_to_cohab,2.916748
1262965,2004,time_married_hardcoded,-8.25
1320887,2009,time_from_met_to_rel,2
1320887,2009,time_from_rel_to_cohab,1
1320887,2009,time_married_hardcoded,-8.25
1344091,1983,time_from_met_to_rel,0.08337402
1344091,1983,time_from_rel_to_cohab,0.75
1344091,1983,time_married_hardcoded,-8.25
1357645,1970,time_from_met_to_rel,0.08337402
1357645,1970,time_from_rel_to_cohab,3.916626
1357645,1970,time_married_hardcoded,-8.25
1377765,1985,time_from_met_to_rel,0
1377765,1985,time_from_rel_to_cohab,0.33337402
1377765,1985,time_married_hardcoded,-8.25
1389569,1962,time_from_met_to_rel,0.08325195
1389569,1962,time_from_rel_to_cohab,1
1389569,1962,time_married_hardcoded,-8.25
1390783,1983,time_from_met_to_rel,1.583374
1390783,1983,time_from_rel_to_cohab,0.83325195
1390783,1983,time_married_hardcoded,-8.25
1409151,2011,time_from_met_to_rel,0.08337402
1409151,2011,time_from_rel_to_cohab,0.833374
1409151,2011,time_married_hardcoded,-8.25
1433943,2003,time_from_met_to_rel,0.33325195
1433943,2003,time_from_rel_to_cohab,0.16674805
1433943,2003,time_married_hardcoded,-8.25
1439067,1983,time_from_met_to_rel,1.666626
1439067,1983,time_from_rel_to_cohab,4.5
1439067,1983,time_married_hardcoded,-8.25
1457329,1958,time_from_met_to_rel,2.166626
1457329,1958,time_from_rel_to_cohab,2.333374
1457329,1958,time_married_hardcoded,-8.25
1465893,1970,time_from_met_to_rel,7.583374
1465893,1970,time_from_rel_to_cohab,1.666626
1465893,1970,time_married_hardcoded,-8.25
1469823,2006,time_from_met_to_rel,0
1469823,2006,time_from_rel_to_cohab,3.75
1469823,2006,time_married_hardcoded,-8.25
1478863,1992,time_from_met_to_rel,0
1478863,1992,time_from_rel_to_cohab,2
1478863,1992,time_married_hardcoded,-8.25
1483013,2003,time_from_met_to_rel,0
1483013,2003,time_from_rel_to_cohab,1.333374
1483013,2003,time_married_hardcoded,-8.25
1527779,1981,time_from_met_to_rel,3.25
1527779,1981,time_from_rel_to_cohab,1.416626
1527779,1981,time_married_hardcoded,-8.25
1556445,1995,time_from_met_to_rel,0.16674805
1556445,1995,time_from_rel_to_cohab,3.416626
1556445,1995,time_married_hardcoded,-8.25
1572839,1981,time_from_met_to_rel,0.66674805
1572839,1981,time_from_rel_to_cohab,7.333252
1572839,1981,time_married_hardcoded,-8.25
1592665,1984,time_from_met_to_rel,2.166748
1592665,1984,time_from_rel_to_cohab,4.666626
1592665,1984,time_married_hardcoded,-8.25
1619243,1975,time_from_met_to_rel,0
1619243,1975,time_from_rel_to_cohab,0.833374
1619243,1975,time_married_hardcoded,-8.25
1625405,2004,time_from_met_to_rel,0.16662598
1625405,2004,time_from_rel_to_cohab,2.083374
1625405,2004,time_married_hardcoded,-8.25
1641411,1985,time_from_met_to_rel,0.08337402
1641411,1985,time_from_rel_to_cohab,0.16662598
1641411,1985,time_married_hardcoded,-8.25
1647925,1959,time_from_met_to_rel,0
1647925,1959,time_from_rel_to_cohab,3.583374
1647925,1959,time_married_hardcoded,-8.25
1649347,1972,time_from_met_to_rel,4.5
1649347,1972,time_from_rel_to_cohab,0.916626
1649347,1972,time_married_hardcoded,-8.25
1656923,1975,time_from_met_to_rel,3.833374
1656923,1975,time_from_rel_to_cohab,3.916626
1656923,1975,time_married_hardcoded,-8.25
1664063,1981,time_from_met_to_rel,0.583374
1664063,1981,time_from_rel_to_cohab,3.333374
1664063,1981,time_married_hardcoded,-8.25
1669187,2013,time_from_met_to_rel,0
1669187,2013,time_from_rel_to_cohab,1.25
1669187,2013,time_married_hardcoded,-8.25
1678169,1982,time_from_met_to_rel,1.416626
1678169,1982,time_from_rel_to_cohab,7.333374
1678169,1982,time_married_hardcoded,-8.25
1682377,1962,time_from_met_to_rel,0.16662598
1682377,1962,time_from_rel_to_cohab,2.166626
1682377,1962,time_married_hardcoded,-8.25
1713825,1966,time_from_met_to_rel,1
1713825,1966,time_from_rel_to_cohab,0.33337402
1713825,1966,time_married_hardcoded,-8.25
1721651,1971,time_from_met_to_rel,0
1721651,1971,time_from_rel_to_cohab,0.16662598
1721651,1971,time_married_hardcoded,-8.25
1738617,1990,time_from_met_to_rel,0
1738617,1990,time_from_rel_to_cohab,1.083374
1738617,1990,time_married_hardcoded,-8.25
1740471,1990,time_from_met_to_rel,0.33325195
1740471,1990,time_from_rel_to_cohab,1.916748
1740471,1990,time_married_hardcoded,-8.25
1750221,1974,time_from_met_to_rel,0
1750221,1974,time_from_rel_to_cohab,13.083374
1750221,1974,time_married_hardcoded,-8.25
1768233,1967,time_from_met_to_rel,0
1768233,1967,time_from_rel_to_cohab,0.41674805
1768233,1967,time_married_hardcoded,-8.25
1785191,2001,time_from_met_to_rel,0
1785191,2001,time_from_rel_to_cohab,0.41662598
1785191,2001,time_married_hardcoded,-8.25
1785549,2005,time_from_met_to_rel,2.5
1785549,2005,time_from_rel_to_cohab,0.5
1785549,2005,time_married_hardcoded,-8.25
1790879,1969,time_from_met_to_rel,0
1790879,1969,time_from_rel_to_cohab,1.25
1790879,1969,time_married_hardcoded,-8.25
1791163,1994,time_from_met_to_rel,0
1791163,1994,time_from_rel_to_cohab,0
1791163,1994,time_married_hardcoded,-8.25
1796173,1965,time_from_met_to_rel,0
1796173,1965,time_from_rel_to_cohab,0.75
1796173,1965,time_married_hardcoded,-8.25
1808385,1977,time_from_met_to_rel,0
1808385,1977,time_from_rel_to_cohab,5.333252
1808385,1977,time_married_hardcoded,-8.25
1812505,2017,time_from_met_to_rel,0.41662598
1812505,2017,time_from_rel_to_cohab,0
1812505,2017,time_married_hardcoded,-8.25
1825867,1949,time_from_met_to_rel,1.083252
1825867,1949,time_from_rel_to_cohab,1.666748
1825867,1949,time_married_hardcoded,-8.25
1829901,2006,time_from_met_to_rel,0
1829901,2006,time_from_rel_to_cohab,0
1829901,2006,time_married_hardcoded,-8.25
1840339,2000,time_from_met_to_rel,2
1840339,2000,time_from_rel_to_cohab,0
1840339,2000,time_married_hardcoded,-8.25
1846783,1988,time_from_met_to_rel,0
1846783,1988,time_from_rel_to_cohab,1.583374
1846783,1988,time_married_hardcoded,-8.25
1848539,1981,time_from_met_to_rel,14.333252
1848539,1981,time_from_rel_to_cohab,6.666748
1848539,1981,time_married_hardcoded,-8.25
1852051,2011,time_from_met_to_rel,0.25
1852051,2011,time_from_rel_to_cohab,0.583374
1852051,2011,time_married_hardcoded,-8.25
1856209,1973,time_from_met_to_rel,0
1856209,1973,time_from_rel_to_cohab,0.16662598
1856209,1973,time_married_hardcoded,-8.25
1874783,1992,time_from_met_to_rel,0.16662598
1874783,1992,time_from_rel_to_cohab,0.33337402
1874783,1992,time_married_hardcoded,-8.25
1880801,1967,time_from_met_to_rel,0
1880801,1967,time_from_rel_to_cohab,6.916748
1880801,1967,time_married_hardcoded,-8.25
1880833,1999,time_from_met_to_rel,1.083374
1880833,1999,time_from_rel_to_cohab,0.33337402
1880833,1999,time_married_hardcoded,-8.25
1884543,2014,time_from_met_to_rel,0.916626
1884543,2014,time_from_rel_to_cohab,0
1884543,2014,time_married_hardcoded,-8.25
1900313,1961,time_from_met_to_rel,0.08325195
1900313,1961,time_from_rel_to_cohab,0.41674805
1900313,1961,time_married_hardcoded,-8.25
1901119,2007,time_from_met_to_rel,0.33337402
1901119,2007,time_from_rel_to_cohab,0.833374
1901119,2007,time_married_hardcoded,-8.25
1903537,1977,time_from_met_to_rel,1.416748
1903537,1977,time_from_rel_to_cohab,0.16662598
1903537,1977,time_married_hardcoded,-8.25
1903571,1986,time_from_met_to_rel,0
1903571,1986,time_from_rel_to_cohab,1.5
1903571,1986,time_married_hardcoded,-8.25
1904851,1990,time_from_met_to_rel,0.5
1904851,1990,time_from_rel_to_cohab,0.08337402
1904851,1990,time_married_hardcoded,-8.25
1906663,2004,time_from_met_to_rel,0.16662598
1906663,2004,time_from_rel_to_cohab,0.08337402
1906663,2004,time_married_hardcoded,-8.25
1910953,1980,time_from_met_to_rel,0
1910953,1980,time_from_rel_to_cohab,0.16674805
1910953,1980,time_married_hardcoded,-8.25
1912589,2016,time_from_met_to_rel,0
1912589,2016,time_from_rel_to_cohab,0.75
1912589,2016,time_married_hardcoded,-8.25
1914787,1981,time_from_met_to_rel,0
1914787,1981,time_from_rel_to_cohab,3.75
1914787,1981,time_married_hardcoded,-8.25
1929473,2014,time_from_met_to_rel,1
1929473,2014,time_from_rel_to_cohab,0
1929473,2014,time_married_hardcoded,-8.25
1931801,2004,time_from_met_to_rel,2
1931801,2004,time_from_rel_to_cohab,1
1931801,2004,time_married_hardcoded,-8.25
1932837,1975,time_from_met_to_rel,1
1932837,1975,time_from_rel_to_cohab,1.5
1932837,1975,time_married_hardcoded,-8.25
1932963,1986,time_from_met_to_rel,0
1932963,1986,time_from_rel_to_cohab,0
1932963,1986,time_married_hardcoded,-8.25
1933777,1978,time_from_met_to_rel,7.25
1933777,1978,time_from_rel_to_cohab,0.75
1933777,1978,time_married_hardcoded,-8.25
1935057,2007,time_from_met_to_rel,0.25
1935057,2007,time_from_rel_to_cohab,1.25
1935057,2007,time_married_hardcoded,-8.25
1940691,1972,time_from_met_to_rel,0.41662598
1940691,1972,time_from_rel_to_cohab,2
1940691,1972,time_married_hardcoded,-8.25
1945763,2000,time_from_met_to_rel,5.916626
1945763,2000,time_from_rel_to_cohab,0.08337402
1945763,2000,time_married_hardcoded,-8.25
1946291,2005,time_from_met_to_rel,3.75
1946291,2005,time_from_rel_to_cohab,2.166626
1946291,2005,time_married_hardcoded,-8.25
1946291,2005,time_from_met_to_rel,3.75
1946291,2005,time_from_rel_to_cohab,2.166626
1946291,2005,time_married_hardcoded,-8.25
1953275,2014,time_from_met_to_rel,0
1953275,2014,time_from_rel_to_cohab,0.33325195
1953275,2014,time_married_hardcoded,-8.25
1955549,1977,time_from_met_to_rel,0
1955549,1977,time_from_rel_to_cohab,1
1955549,1977,time_married_hardcoded,-8.25
1956243,2007,time_from_met_to_rel,0
1956243,2007,time_from_rel_to_cohab,0.5
1956243,2007,time_married_hardcoded,-8.25
1957119,2009,time_from_met_to_rel,0.25
1957119,2009,time_from_rel_to_cohab,0.583374
1957119,2009,time_married_hardcoded,-8.25
1961301,1996,time_from_met_to_rel,5
1961301,1996,time_from_rel_to_cohab,1.583252
1961301,1996,time_married_hardcoded,-8.25
1972615,1979,time_from_met_to_rel,0.666626
1972615,1979,time_from_rel_to_cohab,1.833374
1972615,1979,time_married_hardcoded,-8.25
1973029,1998,time_from_met_to_rel,0
1973029,1998,time_from_rel_to_cohab,0.08325195
1973029,1998,time_married_hardcoded,-8.25
1974471,1985,time_from_met_to_rel,1.416748
1974471,1985,time_from_rel_to_cohab,0.16662598
1974471,1985,time_married_hardcoded,-8.25
1978449,1974,time_from_met_to_rel,2.833252
1978449,1974,time_from_rel_to_cohab,5.583374
1978449,1974,time_married_hardcoded,-8.25
1991077,1998,time_from_met_to_rel,0
1991077,1998,time_from_rel_to_cohab,0
1991077,1998,time_married_hardcoded,-8.25
1995821,1955,time_from_met_to_rel,0.41662598
1995821,1955,time_from_rel_to_cohab,0.666626
1995821,1955,time_married_hardcoded,-8.25
2008049,2003,time_from_met_to_rel,0
2008049,2003,time_from_rel_to_cohab,5.583252
2008049,2003,time_married_hardcoded,-8.25
2017035,1994,time_from_met_to_rel,0.08337402
